Tabela,Row,Alpha,B,t,Iteracoes,Success,Objective
1,1,0.31,607.6022688383415,0.3896521388741833,37,True,-366170551.0959282
1,2,0.32,628.4629740641637,0.3880217838296967,16,True,-371673867.67263865
1,3,0.33,649.3602525957633,0.3863908854324215,10,True,-377449878.91343117
1,4,0.34,670.3024408572065,0.38477078407780424,36,True,-383506340.4985196
1,5,0.35000000000000003,691.2543368766086,0.3831298956567704,115,True,-389851691.94864273
1,6,0.36000000000000004,712.2383818195883,0.38149399865374556,18,True,-396495073.31596583
1,7,0.37000000000000005,733.276676573148,0.37988410089415303,11,True,-403446345.5950929
1,8,0.38000000000000006,754.2325932258121,0.37818791626525794,17,True,-410716116.5783555
1,9,0.39000000000000007,775.2453613650923,0.37652794368980735,10,True,-418315767.5219819
1,10,0.4000000000000001,796.2432939697928,0.37484868677565986,147,True,-426257488.17472905
1,11,0.4100000000000001,817.2470795984195,0.37316991693961177,10,True,-434554312.77915597
1,12,0.4200000000000001,838.2403285391222,0.37148283054953735,19,True,-443220161.6930156
1,13,0.4300000000000001,859.1888197869822,0.36976831303849433,24,True,-452269887.32064223
1,14,0.4400000000000001,880.1342723211434,0.3680584249096721,19,True,-461719324.72560436
1,15,0.4500000000000001,901.0435112484691,0.3663348311577604,13,True,-471585347.3018115
1,16,0.46000000000000013,921.8929915274439,0.36458763633849456,111,True,-481885927.7681763
1,17,0.47000000000000014,942.7408049453979,0.3628544998775587,12,True,-492640204.93300223
1,18,0.48000000000000015,963.5055217687215,0.3610919635314466,11,True,-503868556.39612806
1,19,0.49000000000000016,984.1721434633539,0.35929756915920075,11,True,-515592678.1086736
1,20,0.5000000000000002,1004.8407522501727,0.35752735360092325,15,True,-527835670.9999613
1,21,0.5100000000000002,1025.300398018153,0.35567837394246293,24,True,-540622134.9862952
1,22,0.5200000000000002,1045.8390685694326,0.35389606684679464,13,True,-553978273.2748402
1,23,0.5300000000000002,1066.2275679610884,0.3520718696084703,9,True,-567932001.7394835
1,24,0.5400000000000003,1086.4859876892192,0.3502207890078599,12,True,-582513073.8602157
1,25,0.5500000000000003,1106.6416234444885,0.3483590621334133,89,True,-597753212.648239
1,26,0.5600000000000003,1126.6832490382997,0.34648512509640017,17,True,-613686256.4903759
1,27,0.5700000000000003,1146.6107026476445,0.3446020485947543,9,True,-630348318.0947615
1,28,0.5800000000000003,1166.4103450096682,0.34270738498389364,13,True,-647777958.2929033
1,29,0.5900000000000003,1186.1544875308714,0.3408310191170019,10,True,-666016376.0001682
1,30,0.6000000000000003,1205.5429614619184,0.3388648188818968,35,True,-685107618.2714307
2,0,0.3,586.1788896294171,0.39098656864529324,24,True,-393651157.3040943
2,1,0.31,606.9920675117924,0.38937769051093574,97,True,-399361606.7366152
2,2,0.32,627.8596998812203,0.38778263207999536,11,True,-405361686.4665395
2,3,0.33,648.7149310844396,0.38613332857220806,13,True,-411659118.12291145
2,4,0.34,669.6215361560058,0.38450328045027976,27,True,-418262355.11900365
2,5,0.35000000000000003,690.5529326402453,0.38286787113280724,13,True,-425180596.9060312
2,6,0.36000000000000004,711.5189330730227,0.3812394730514595,10,True,-432423806.5943996
2,7,0.37000000000000005,732.4742258151426,0.3795812413263289,18,True,-440002733.6957614
2,8,0.38000000000000006,753.4537337682058,0.3779283054809115,10,True,-447928940.8886234
2,9,0.39000000000000007,774.4367581652402,0.3762665092870809,84,True,-456214835.6231499
2,10,0.4000000000000001,795.3487997203744,0.37454391383292834,9,True,-464873705.5709357
2,11,0.4100000000000001,816.3610339573905,0.3728932201657654,9,True,-473919760.50583905
2,12,0.4200000000000001,837.3320076217544,0.37121110605812596,52,True,-483368174.58412445
2,13,0.4300000000000001,858.2772937833059,0.3695139869860384,16,True,-493235139.13146585
2,14,0.4400000000000001,879.1955936282478,0.3678051966475532,11,True,-503537916.57791704
2,15,0.4500000000000001,900.0518104208599,0.36606709205245536,49,True,-514294901.3466825
2,16,0.46000000000000013,920.899605186797,0.36433673485408236,10,True,-525525686.3037888
2,17,0.47000000000000014,941.6847141229251,0.3625850090416265,13,True,-537251135.4998
2,18,0.48000000000000015,962.4787879856593,0.3608553675726559,9,True,-549493463.3707943
2,19,0.49000000000000016,983.0822711973045,0.3590433295266211,11,True,-562276322.3319893
2,20,0.5000000000000002,1003.6860279662882,0.35725601628254117,31,True,-575624895.1912398
2,21,0.5100000000000002,1024.1866874725513,0.3554427791923634,10,True,-589565999.9979529
2,22,0.5200000000000002,1044.64670770697,0.35363772961928447,26,True,-604128201.3335785
2,23,0.5300000000000002,1064.9743600039678,0.3518005460457714,11,True,-619341932.3870914
2,24,0.5400000000000003,1085.2441717457693,0.3499691391259074,25,True,-635239628.5116382
2,25,0.5500000000000003,1105.3607293660427,0.34810454369323846,104,True,-651855872.3968121
2,26,0.5600000000000003,1125.3712095677915,0.3462312962308736,13,True,-669227552.6568937
2,27,0.5700000000000003,1145.2554574396306,0.344344196202172,42,True,-687394037.2167718
2,28,0.5800000000000003,1164.9774095007174,0.3424326248454749,192,True,-706397362.6850591
2,29,0.5900000000000003,1184.6450362856756,0.3405409430539688,10,True,-726282441.9003075
2,30,0.6000000000000003,1204.1177536466269,0.3386184762106244,23,True,-747097290.9064913
3,0,0.3,585.0428537791531,0.39048338793995524,146,True,-426328175.21327454
3,1,0.31,605.8040098903524,0.3888698280792388,14,True,-432508315.81873804
3,2,0.32,626.5976247622119,0.387247393414054,61,True,-439001998.1191491
3,3,0.33,647.4275977755065,0.3856245115427437,91,True,-445817573.31671673
3,4,0.34,668.2846703106258,0.3839951711697005,16,True,-452964185.23188496
3,5,0.35000000000000003,689.1674409992786,0.38236189583904623,14,True,-460451784.77594626
3,6,0.36000000000000004,710.0496206375444,0.38070460233250564,10,True,-468291149.42144114
3,7,0.37000000000000005,730.9816559051811,0.3790723367018002,11,True,-476493907.73765486
3,8,0.38000000000000006,751.9024416116866,0.37741473967990535,13,True,-485072568.2089851
3,9,0.39000000000000007,772.8204279816737,0.3757442968864371,14,True,-494040553.49447876
3,10,0.4000000000000001,793.7353156370469,0.37406502357134974,15,True,-503412239.03042495
3,11,0.4100000000000001,814.671477889086,0.3723980211484652,12,True,-513202996.8392996
3,12,0.4200000000000001,835.5940705806298,0.3707203845232794,9,True,-523429244.0182925
3,13,0.4300000000000001,856.4312413988106,0.3689884802236032,13,True,-534108497.3277904
3,14,0.4400000000000001,877.308503873128,0.36729048935354897,53,True,-545259432.5109677
3,15,0.4500000000000001,898.1368162590919,0.36557075946178713,46,True,-556901949.9381156
3,16,0.46000000000000013,918.9547914034541,0.3638566366411647,9,True,-569057246.5567082
3,17,0.47000000000000014,939.6213718332316,0.3620703596496855,9,True,-581747895.2044683
3,18,0.48000000000000015,960.2897850293431,0.3603051651751559,14,True,-594997928.7441201
3,19,0.49000000000000016,980.899761506469,0.3585295588510738,36,True,-608832935.5437293
3,20,0.5000000000000002,1001.4797107985493,0.3567611439872699,10,True,-623280160.5925262
3,21,0.5100000000000002,1021.9111458769564,0.35494371241200434,11,True,-638368617.1937629
3,22,0.5200000000000002,1042.3042883495373,0.3531361329848181,10,True,-654129207.7523121
3,23,0.5300000000000002,1062.5617643591866,0.35129536776612946,14,True,-670594856.526652
3,24,0.5400000000000003,1082.7560034320834,0.34945850698535835,10,True,-687800653.1401002
3,25,0.5500000000000003,1102.787541605557,0.34758506307772313,14,True,-705784010.2666259
3,26,0.5600000000000003,1122.653520194666,0.34567940190280894,8,True,-724584834.398962
3,27,0.5700000000000003,1142.5545488164144,0.3438261611823616,12,True,-744245715.0673319
3,28,0.5800000000000003,1162.2277353825216,0.3419213648435544,13,True,-764812126.6696194
3,29,0.5900000000000003,1181.603165372798,0.3399456362048253,9,True,-786332654.3878285
3,30,0.6000000000000003,1201.0091317671984,0.33802579130442806,12,True,-808859243.7719743
4,0,0.3,585.1303865386392,0.39040679141745677,12,True,-459120190.9519253
