Tabela,Row,Alpha,B,t,Iteracoes,Success,Objective
1,15,0.4500000000000001,899.178276278309,0.3658704653452427,11,True,-128508516.73842919
1,16,0.46000000000000013,919.9500731571492,0.36411131324852614,9,True,-131314389.9721463
1,17,0.47000000000000014,940.7330385389592,0.3623747060680432,36,True,-134243853.92083713
1,18,0.48000000000000015,961.4704824716343,0.36062970468988664,10,True,-137302458.4988288
1,19,0.49000000000000016,982.0690950923353,0.3588306467801661,10,True,-140496112.82477173
1,20,0.5000000000000002,1002.6149454128682,0.35702882741265574,10,True,-143831108.50761682
1,21,0.5100000000000002,1023.1109732035145,0.3552281535961388,11,True,-147314145.61141342
1,22,0.5200000000000002,1043.4944261054234,0.35340119196697656,76,True,-150952360.5270336
1,23,0.5300000000000002,1063.81004102015,0.35157297815209515,16,True,-154753356.54452336
1,24,0.5400000000000003,1083.9969035448796,0.34971901743954237,11,True,-158725237.11462966
1,25,0.5500000000000003,1104.1088164868509,0.3478666589917853,31,True,-162876642.16098255
1,26,0.5600000000000003,1124.056155521039,0.3459810165382911,16,True,-167216787.72360116
1,27,0.5700000000000003,1143.895230019893,0.34408956495849785,15,True,-171755509.20094812
1,28,0.5800000000000003,1163.6807585363806,0.34221581298583215,8,True,-176503308.6713569
1,29,0.5900000000000003,1183.15640858816,0.3402646007117016,11,True,-181471406.9436045
1,30,0.6000000000000003,1202.614532455475,0.33835033942039927,25,True,-186671799.79176778
2,0,0.3,585.0094229661391,0.3903837050206058,48,True,-131177614.48932211
2,1,0.31,605.7625386955547,0.38876446664062964,52,True,-133079697.95297413
2,2,0.32,626.5387557542952,0.3871269339799153,27,True,-135078269.13995937
2,3,0.33,647.3697169058164,0.3855095621069436,42,True,-137175898.5581172
2,4,0.34,668.2208064886578,0.3838785289899075,32,True,-139375400.5768313
2,5,0.35000000000000003,689.0970676819624,0.3822433848115488,26,True,-141679837.93936297
2,6,0.36000000000000004,709.9740349014904,0.3805857185249939,21,True,-144092527.74579293
2,7,0.37000000000000005,730.8834787536998,0.37893843403228067,13,True,-146617048.9383046
2,8,0.38000000000000006,751.791204917227,0.3772750678025498,41,True,-149257251.29340455
2,9,0.39000000000000007,772.6996597073322,0.37560226530161755,10,True,-152017265.8537121
2,10,0.4000000000000001,793.6137412768378,0.3739275000841509,33,True,-154901516.85991454
2,11,0.4100000000000001,814.5222769167148,0.37224559511878924,30,True,-157914735.1872047
2,12,0.4200000000000001,835.3973963953276,0.3705408130889686,19,True,-161061973.3753661
